FIRE_NAME,FIRE_SIZE,STATE,FIRE_YEAR,STAT_CAUSE_DESCR
O'HARREL,560.0,CA,2007,Lightning
RICE,9472.0,CA,2007,Miscellaneous
GROUSE,1022.0,CA,2007,Lightning
BUCKWEED,38356.0,CA,2007,Children
POOMACHA,49390.0,CA,2007,Miscellaneous
SALTLICK,2582.0,WY,2007,Miscellaneous
HORSE CREEK,8590.0,WY,2007,Miscellaneous
MIDDLE,2714.0,WY,2007,Lightning
HARDSCRABBLE,3074.0,WY,2007,Lightning
MICAH,640.0,TX,2008,Miscellaneous
JUNGLE RX BURN,5315.0,UT,2007,Miscellaneous
POTATO HILL,4000.0,AR,2007,Lightning
SMITH FLATS,681.0,VA,2007,Miscellaneous
POLE CREEK,1044.0,WY,2007,Miscellaneous
BRUSH CREEK,29921.0,MT,2007,Lightning
ROLL,900.0,OK,2008,Lightning
HOTEL,610.0,FL,2008,Miscellaneous
BALL GOAL,2174.0,MS,2008,Miscellaneous
HARRISON,577.0,NV,2007,Lightning
SNAKEWEED,1227.0,CO,2008,Debris Burning
